, ,
-LRB- (
-LRB- [
-RRB- )
-RRB- ]
. .
: :
CC and
CC both
CC or
CD 0
CD 6
CD 7
CD one
CD two
DT A
DT An
DT Any
DT Every
DT The
DT This
DT a
DT an
DT another
DT any
DT both
DT every
DT the
EX there
FW \
FW disjoint
FW etale
FW finite
FW morphism
FW mutandis
FW mutatis
HYPH -
IN For
IN In
IN above
IN between
IN by
IN for
IN from
IN if
IN in
IN of
IN on
IN over
IN to
IN under
IN with
JJ Complete
JJ Noetherian
JJ Zariski
JJ abelian
JJ affine
JJ algebraic
JJ arbitrary
JJ base
JJ big
JJ closed
JJ common
JJ complete
JJ continuous
JJ decent
JJ diagonal
JJ discrete
JJ effective
JJ elementary
JJ enough
JJ equivalent
JJ etale
JJ excellent
JJ faithful
JJ finite
JJ first
JJ flat
JJ formal
JJ fpqc
JJ functorial
JJ global
JJ henselian
JJ injective
JJ integral
JJ irreducible
JJ local
JJ nonempty
JJ normal
JJ only
JJ open
JJ particular
JJ perfect
JJ pro-etale
JJ proper
JJ pseudo-coherent
JJ quasi
JJ quasi-compact
JJ quasi-excellent
JJ quasi-finite
JJ quasi-regular
JJ radicial
JJ regular
JJ relative
JJ representable
JJ same
JJ small
JJ smooth
JJ special
JJ standard
JJ submersive
JJ surjective
JJ syntomic
JJ total
JJ trivial
JJ true
JJ unibranch
JJ uniqueness
JJ universal
JJ unramified
JJ valuative
LS 1
LS 2
LS 3
LS 4
LS 5
NFP *
NFP ...
NN Ab3
NN Bezout
NN G
NN V
NN Zariski
NN affine
NN automorphism
NN base
NN case
NN category
NN change
NN colimit
NN collection
NN combination
NN complex
NN composition
NN cone
NN construction
NN covering
NN criterion
NN cup
NN dimension
NN divisor
NN domain
NN embedding
NN epimorphism
NN equivalence
NN etale
NN existence
NN fibration
NN field
NN fortiori
NN fppf
NN fpqc
NN fraction
NN functor
NN groupoid
NN h
NN homeomorphism
NN homomorphism
NN ideal
NN identity
NN immersion
NN integral
NN intersection
NN isomorphism
NN localization
NN map
NN monomorphism
NN morphism
NN nonempty
NN number
NN object
NN opposite
NN order
NN pair
NN part
NN ph
NN point
NN presentation
NN product
NN property
NN pullback
NN pushforward
NN quasi
NN quasi-compact
NN representable
NN resp
NN restriction
NN rig
NN ring
NN scheme
NN set
NN setoid
NN sheaf
NN site
NN space
NN stack
NN structure
NN subscheme
NN subset
NN sum
NN support
NN tensor
NN thickening
NN type
NN union
NN uniqueness
NN valuation
NNP A
NNP Bezout
NNP Cartier
NNP Cohen
NNP DM
NNP David
NNP Gorenstein
NNP Grothendieck
NNP Kan
NNP Macaulay
NNP Nagata
NNP Popescu
NNP Rydh
NNP UFD
NNP Zariski
NNPS Monomorphisms
NNS Compositions
NNS affines
NNS axioms
NNS categories
NNS commutes
NNS compatibilities
NNS complexes
NNS components
NNS coverings
NNS divisors
NNS fibrations
NNS fields
NNS homeomorphisms
NNS homomorphisms
NNS immersions
NNS injectives
NNS maps
NNS monomorphisms
NNS morphisms
NNS operations
NNS points
NNS presheaves
NNS rings
NNS schemes
NNS sections
NNS sets
NNS sheaves
NNS sites
NNS spaces
NNS stacks
NNS thickenings
PRP We
PRP it
PRP us
PRP$ its
RB Also
RB Equivalently
RB Hence
RB Similarly
RB absolutely
RB as
RB essentially
RB exactly
RB faithfully
RB finitely
RB formally
RB fully
RB geometrically
RB linearly
RB locally
RB only
RB separably
RB strictly
RB universally
RB well
VB Let
VB call
VBD closed
VBD separated
VBG Being
VBG being
VBG covering
VBG following
VBN associated
VBN called
VBN closed
VBN contained
VBN filtered
VBN generated
VBN given
VBN presented
VBN preserved
VBN quasi-separated
VBN reduced
VBN separated
VBN topologized
VBP are
VBP have
VBP satisfy
VBZ associates
VBZ gives
VBZ has
VBZ holds
VBZ induces
VBZ is
VBZ satisfies
VBZ specializes
WDT that
WDT which
WRB where
